Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,149,3,Some Random Commen with Id 0
1,0,4,16,4,Some Random Commen with Id 1
2,0,4,199,8,Some Random Commen with Id 2
3,0,4,24,8,Some Random Commen with Id 3
4,0,4,151,4,Some Random Commen with Id 4
5,1,5,43,5,Some Random Commen with Id 5
6,1,5,82,3,Some Random Commen with Id 6
7,2,6,152,1,Some Random Commen with Id 7
8,2,6,22,6,Some Random Commen with Id 8
9,2,6,37,6,Some Random Commen with Id 9
10,3,7,115,2,Some Random Commen with Id 10
11,3,7,164,4,Some Random Commen with Id 11
12,3,7,15,5,Some Random Commen with Id 12
13,3,7,95,9,Some Random Commen with Id 13
14,3,7,58,6,Some Random Commen with Id 14
15,3,7,61,9,Some Random Commen with Id 15
16,3,7,12,9,Some Random Commen with Id 16
17,3,7,4,6,Some Random Commen with Id 17
18,4,2,145,5,Some Random Commen with Id 18
19,4,2,84,5,Some Random Commen with Id 19
20,5,7,65,5,Some Random Commen with Id 20
21,5,7,124,6,Some Random Commen with Id 21
22,5,7,193,4,Some Random Commen with Id 22
23,5,7,173,9,Some Random Commen with Id 23
24,5,7,69,7,Some Random Commen with Id 24
25,5,7,34,3,Some Random Commen with Id 25
26,5,7,86,6,Some Random Commen with Id 26
27,5,7,28,6,Some Random Commen with Id 27
28,6,8,171,8,Some Random Commen with Id 28
29,6,8,89,3,Some Random Commen with Id 29
30,6,8,132,9,Some Random Commen with Id 30
31,6,8,187,8,Some Random Commen with Id 31
32,7,8,1,7,Some Random Commen with Id 32
33,7,8,72,3,Some Random Commen with Id 33
34,7,8,85,2,Some Random Commen with Id 34
35,7,8,11,6,Some Random Commen with Id 35
36,7,8,175,8,Some Random Commen with Id 36
37,7,8,162,6,Some Random Commen with Id 37
38,8,9,11,2,Some Random Commen with Id 38
39,8,9,57,6,Some Random Commen with Id 39
40,8,9,177,7,Some Random Commen with Id 40
41,9,2,21,6,Some Random Commen with Id 41
42,9,2,10,9,Some Random Commen with Id 42
43,9,2,14,8,Some Random Commen with Id 43
44,10,9,171,4,Some Random Commen with Id 44
45,10,9,195,7,Some Random Commen with Id 45
46,10,9,105,9,Some Random Commen with Id 46
47,10,9,151,0,Some Random Commen with Id 47
48,11,3,53,3,Some Random Commen with Id 48
49,11,3,176,3,Some Random Commen with Id 49
50,11,3,64,2,Some Random Commen with Id 50
51,11,3,122,1,Some Random Commen with Id 51
52,11,3,60,7,Some Random Commen with Id 52
53,12,5,177,3,Some Random Commen with Id 53
54,12,5,199,9,Some Random Commen with Id 54
55,12,5,21,2,Some Random Commen with Id 55
56,12,5,195,1,Some Random Commen with Id 56
57,12,5,191,3,Some Random Commen with Id 57
58,12,5,135,1,Some Random Commen with Id 58
59,12,5,95,2,Some Random Commen with Id 59
60,12,5,104,4,Some Random Commen with Id 60
61,13,8,24,3,Some Random Commen with Id 61
62,13,8,22,8,Some Random Commen with Id 62
63,13,8,94,2,Some Random Commen with Id 63
64,13,8,114,2,Some Random Commen with Id 64
65,13,8,180,2,Some Random Commen with Id 65
66,13,8,3,0,Some Random Commen with Id 66
67,14,0,69,4,Some Random Commen with Id 67
68,14,0,92,3,Some Random Commen with Id 68
69,14,0,124,4,Some Random Commen with Id 69
70,14,0,105,9,Some Random Commen with Id 70
71,14,0,180,9,Some Random Commen with Id 71
72,14,0,160,6,Some Random Commen with Id 72
73,14,0,170,4,Some Random Commen with Id 73
74,14,0,57,6,Some Random Commen with Id 74
75,15,9,20,2,Some Random Commen with Id 75
76,15,9,53,2,Some Random Commen with Id 76
77,15,9,37,8,Some Random Commen with Id 77
78,15,9,26,1,Some Random Commen with Id 78
79,15,9,109,4,Some Random Commen with Id 79
80,15,9,106,1,Some Random Commen with Id 80
81,15,9,35,2,Some Random Commen with Id 81
82,15,9,33,5,Some Random Commen with Id 82
83,15,9,17,8,Some Random Commen with Id 83
84,16,1,171,5,Some Random Commen with Id 84
85,16,1,145,4,Some Random Commen with Id 85
86,16,1,178,7,Some Random Commen with Id 86
87,16,1,111,2,Some Random Commen with Id 87
88,16,1,151,5,Some Random Commen with Id 88
89,16,1,5,1,Some Random Commen with Id 89
90,16,1,131,1,Some Random Commen with Id 90
91,16,1,72,4,Some Random Commen with Id 91
92,16,1,35,0,Some Random Commen with Id 92
93,17,0,49,4,Some Random Commen with Id 93
94,17,0,165,1,Some Random Commen with Id 94
95,17,0,45,8,Some Random Commen with Id 95
96,17,0,1,5,Some Random Commen with Id 96
97,17,0,106,2,Some Random Commen with Id 97
98,17,0,147,7,Some Random Commen with Id 98
99,17,0,61,5,Some Random Commen with Id 99
100,17,0,45,1,Some Random Commen with Id 100
101,17,0,57,8,Some Random Commen with Id 101
102,18,9,54,5,Some Random Commen with Id 102
103,18,9,169,1,Some Random Commen with Id 103
104,18,9,63,4,Some Random Commen with Id 104
105,18,9,50,3,Some Random Commen with Id 105
106,18,9,18,7,Some Random Commen with Id 106
107,19,8,3,9,Some Random Commen with Id 107
108,19,8,88,6,Some Random Commen with Id 108
109,19,8,154,3,Some Random Commen with Id 109
110,19,8,34,4,Some Random Commen with Id 110
111,19,8,147,1,Some Random Commen with Id 111
112,19,8,65,5,Some Random Commen with Id 112
113,21,8,48,2,Some Random Commen with Id 113
114,21,8,102,1,Some Random Commen with Id 114
115,21,8,186,0,Some Random Commen with Id 115
116,21,8,8,6,Some Random Commen with Id 116
117,21,8,54,1,Some Random Commen with Id 117
118,21,8,22,8,Some Random Commen with Id 118
119,21,8,73,1,Some Random Commen with Id 119
120,21,8,57,5,Some Random Commen with Id 120
121,22,2,111,3,Some Random Commen with Id 121
